,Item,Average score of fuzzy number Xmax)
0,"Providing that Infrastructure Integratability indicates to the capability of integrating blockchain with the existing infrastructure. 

Do you think that the impact of infrastructure availability on the adoption of healthcare is :",0.56
1,"Providing that Compatibility indicates to the capacity for equipment, systems, applications, or products from several suppliers to work cohesively together without the involvement of an end user. Unrestricted sharing of information and resources is made possible by it. 

Do you think that the impact of Compatibility on the adoption of healthcare is :",0.5066666666666667
2,"Providing that Security and Privacy indicates to the measures healthcare's ability to protect its patients' privacy and secure their data. 

Do you think that the impact of Security and privacy on the adoption of healthcare is :",0.6266666666666667
3,"Providing that Latency indicates to the delay that occurs in performing a certain operation in a digital health system and how much the system is adaptable to handle it. 
Do you think that the impact of Latency on the adoption of healthcare is:",0.48
4,"Providing that Reliability refers to meeting the robustness and correctness. The former indicates the correct operation of technology in normal conditions, and the latter indicates the proper operation of technology in abnormal conditions. 
Do you think that the impact of  Reliability on the adoption of healthcare is:",0.6
5,"Providing that Scalability refers to how much the technology is capable of operating on large scales, such as serving a high number of patients in different regions with different pressure and demand. It is associated with decentralized architecture where the bottleneck is handled. 
Do you think that the impact of Scalability on the adoption of healthcare is:",0.6533333333333333
6,"Providing that Limitation of Computing Power refers to the limited resources of devices’ computing power, which prevents the execution of the blockchain operation. 
Do you think that the impact of Computing Power on the adoption of healthcare is:",0.44
7,"Providing that Top Management Support assesses the level of senior management engagement, support, and approval for the blockchain initiative. 
Do you think that the impact of Top Management Support on the adoption of healthcare is:",0.6666666666666666
8,"Providing Training and Skills measure the level of alleviating the technical skills of the development team involved in blockchain implementation through training and courses. 
Do you think that the impact of Training and Skills on the adoption of healthcare is:",0.6266666666666667
9,"Providing that Health IT Strategy measure the level of alignment of the blockchain project with the strategic vision of healthcare IT. 
Do you think that the impact of the Health IT Strategy on the adoption of healthcare is:",0.6666666666666667
10,"Providing that Management Stability refers to the status of management in terms of changing the rate of administrative positions and leadership holders. 
Do you think that the impact of Management Stability on the adoption of healthcare is:",0.5466666666666666
11,"Providing that Appropriate Team Leadership indicates to suitability of leadership with the position they hold and the matching with the creative aspect that is needed in terms of changing for the better. 
Do you think that the impact of Appropriate Team Leadership on the adoption of healthcare is:",0.6133333333333333
12,"Providing that Technology Readiness indicates to the availability of technological infrastructure and IT human resources is needed to implement the technology. 
Do you think that the impact of Technology Readiness on the adoption of healthcare is:",0.52
13,"Providing that bureaucracy and reduction the flexibility of changes caused by Hierarchical Structure might impact the adoption of healthcare, 
Do you think that this impact is :  ",0.3288888888888889
14,"Providing that Business Parties’ Willingness represents the seriousness of business parties in transferring their infrastructure to blockchain-based. It has more than one dimension, such as ideology, culture, fear of change …etc. 
Do you think that the impact of Business Parties’ willingness on the adoption of healthcare is:",0.6933333333333334
15,"Providing that Business Collaboration and Coordination indicates to the willingness of other business parties to collaborate and coordinate with the healthcare organization that is working on enabling blockchain for its system. 
Do you think that the impact of Business Collaboration and Coordination on the adoption of healthcare is:",0.6666666666666667
